Month,Plot,Species,Tree,Tree2,HorL,LorR,#leaflets,existing,missing,prop,propmod,total,logit2,#areas,comments
May,1,hybrid,7-Jan,1.7,H,4,11,4680907,0,0,3.66E-05,4680907,-4.436392651,0,
May,1,hybrid,7-Jan,1.7,L,1,11,3595596,0,0,3.66E-05,3595596,-4.436392651,0,
May,1,hybrid,7-Jan,1.7,L,3,11,4156616,0,0,3.66E-05,4156616,-4.436392651,0,
May,1,hybrid,7-Jan,1.7,L,4,9,3068257,0,0,3.66E-05,3068257,-4.436392651,0,
May,1,nigra,8-Jan,1.8,H,1,10,3960750,0,0,3.66E-05,3960750,-4.436392651,0,
May,1,nigra,8-Jan,1.8,H,2,12,4196650,0,0,3.66E-05,4196650,-4.436392651,0,
May,1,nigra,8-Jan,1.8,H,4,10,2776999,0,0,3.66E-05,2776999,-4.436392651,0,
May,1,nigra,8-Jan,1.8,L,L,11,3156209,0,0,3.66E-05,3156209,-4.436392651,0,
May,1,nigra,8-Jan,1.8,L,R,9,1554653,0,0,3.66E-05,1554653,-4.436392651,0,
May,1,nigra,8-Jan,1.8,L,R,9,168751,0,0,3.66E-05,168751,-4.436392651,0,
May,2,pennsylvanica,2-Feb,2.2,H,L,7,2347628,0,0,3.66E-05,2347628,-4.436392651,0,
May,2,pennsylvanica,2-Feb,2.2,H,R,7,2317871,0,0,3.66E-05,2317871,-4.436392651,0,
May,2,pennsylvanica,2-Feb,2.2,H,L,6,918970,0,0,3.66E-05,918970,-4.436392651,0,
May,2,pennsylvanica,2-Feb,2.2,H,R,5,1734100,0,0,3.66E-05,1734100,-4.436392651,0,
May,2,pennsylvanica,2-Feb,2.2,L,L,5,2129511,0,0,3.66E-05,2129511,-4.436392651,0,
May,2,pennsylvanica,2-Feb,2.2,L,R,5,2071794,0,0,3.66E-05,2071794,-4.436392651,0,
July,2,mandshurica,3-Feb,2.3,H,3,9,3366434,0,0,3.66E-05,3366434,-4.436392651,0,
July,2,mandshurica,3-Feb,2.3,L,2,11,3814948,0,0,3.66E-05,3814948,-4.436392651,0,
July,2,mandshurica,3-Feb,2.3,L,3,9,2575216,0,0,3.66E-05,2575216,-4.436392651,0,
July,2,nigra,4-Feb,2.4,L,1,8,4047916,0,0,3.66E-05,4047916,-4.436392651,0,
May,2,nigra,5-Feb,2.5,H,L,9,1234480,0,0,3.66E-05,1234480,-4.436392651,0,
May,2,nigra,5-Feb,2.5,H,R,9,1539527,0,0,3.66E-05,1539527,-4.436392651,0,
May,2,nigra,5-Feb,2.5,L,L,9,1673139,0,0,3.66E-05,1673139,-4.436392651,0,
May,2,nigra,5-Feb,2.5,L,R,11,1775053,0,0,3.66E-05,1775053,-4.436392651,0,
May,2,nigra,5-Feb,2.5,L,2,9,3674120,0,0,3.66E-05,3674120,-4.436392651,0,
May,2,mandshurica,6-Feb,2.6,H,1,11,3717829,0,0,3.66E-05,3717829,-4.436392651,0,
May,2,mandshurica,6-Feb,2.6,H,2,10,3353488,0,0,3.66E-05,3353488,-4.436392651,0,
May,2,mandshurica,6-Feb,2.6,L,2,9,3360923,0,0,3.66E-05,3360923,-4.436392651,0,
May,2,hybrid,8-Feb,2.8,H,1,11,4017928,0,0,3.66E-05,4017928,-4.436392651,0,
May,2,hybrid,8-Feb,2.8,H,3,11,4720097,0,0,3.66E-05,4720097,-4.436392651,0,
